rcp_id,fermenter_temperature,cu_low,cu_high,cu_setpoint,pre_run_dump_volume,time_start,time_end,original_gravity,fermenter_volume,brite_volume,clar_eff
102,33,0.400000005960464,0.699999988079071,0.400000005960464,,"9:40 AM","12:30 PM",14.38,191,172.300003051758,90.2094256815486
87,33,0.400000005960464,0.600000023841858,0.800000011920929,,"8:45 AM","12:45 PM",13.24,229.5,212,92.3747276688453
107,33.7999992370605,0.189999997615814,0.600000023841858,0.600000023841858,,"9:25 AM","12:35 PM",14.39,209.5,190.5,90.9307875894988
132,34.4000015258789,0.180000007152557,0.800000011920929,0.800000011920929,,"10:05 AM","2:50 PM",16.94,307.2,261,84.9609375
94,33,0.1,0.3,0.8,0,"9:00 AM","10:30 AM",13.22,109.8,102,92.896174863388
102,33,0.400000005960464,0.699999988079071,0.400000005960464,,"9:40 AM","12:30 PM",14.38,191,172.300003051758,90.2094256815486
87,33.4000015258789,0.180000007152557,0.800000011920929,0.800000011920929,,"9:00 AM","10:20 AM",13.25,105.1,96.5999984741211,91.9124628678602
114,33,0.5,0.649999976158142,0.800000011920929,,"9:10 AM","10:45 AM",14.36,87,87.6999969482422,100.804594193382
78,34,0.0900000035762787,0.119999997317791,0.800000011920929,,"8:30 AM","10:30 AM",10.36,111.7,109,97.5828111011638
76,48,0.150000005960464,0.300000011920929,0.400000005960464,,"9:00 AM","10:30 AM",10.48,116.2,105,90.3614457831325
102,36,0.150000005960464,0.25,0.400000005960464,,"9:00 AM","12:40 PM",14.55,215.9,189,87.5405280222325
104,,0.629999995231628,0.800000011920929,0.800000011920929,,"8:50 AM","10:30 AM",16.2,88.3,76.5,86.6364665911665
102,36,0.300000011920929,0.800000011920929,0.800000011920929,,"9:00 AM","2:30 PM",14.38,208.7,180,86.2482031624341
102,33.2,0.24,0.8,8,,"9:25 AM","11:00 AM",14.3,110.1,98.9,89.827429609446
102,33.5,0.2,0.4,0.8,,"9:30 AM",,14.5,212.7,188.6,88.6694875411378
102,33.5,0.2,0.4,0.8,,"9:30 AM",,14.5,212.7,188.6,88.6694875411378
87,,,,,,,,13.25,112.2,,
87,33,0.2,0.3,0.8,,"9:30 AM","10:40 AM",13.25,112.2,104,92.6916221033868
78,34.6,0.06,0.18,0.8,,"9:15 AM","10:45 AM",10.13,112,108,96.4285714285714
94,33,0.1,0.6,0.6,,"9:00 AM","10:30 AM",13.18,104.1,98,94.1402497598463
104,34,0.800000011920929,1,1,,"11:20 AM","2:45 PM",16.1,217.1,202.600006103516,93.3210530186622
78,,0.200000002980232,0.400000005960464,0.800000011920929,,"3:05 PM","4:25 PM",10.25,111.5,108,96.8609865470852
78,33,0.2,0.3,0.8,,"10:50 AM","2:00 PM",10.29,222,216,97.2972972972973
92,30.7999992370605,0.439999997615814,1,1,1.29999995231628,9:10AM,2:30PM,18.05,223.2,214,95.8781362007169
78,36.5,0.129999995231628,0.600000023841858,0.800000011920929,,"9:00 AM","11:15 AM",10.4,204.5,199,97.3105134474328
78,36.5,0.129999995231628,0.600000023841858,0.800000011920929,,"9:00 AM","11:15 AM",10.4,204.5,199,97.3105134474328
102,33.9000015258789,,,0.600000023841858,,"9:55 AM","12:00 PM",14.47,210.5,190,90.2612826603325
107,33,0.100000001490116,0.5,0.800000011920929,,"9:30 AM","1:10 PM",14.38,314.4,285.5,90.8078880407125
140,33.7000007629395,0.109999999403954,0.200000002980232,0.800000011920929,,"9:55 AM","10:15 AM",12.45,14.5,13.5,93.1034482758621
104,,0.78,1,1,,"9:20 AM","12:35 PM",16.25,213,205,96.2441314553991
102,35,0.200000002980232,0.600000023841858,0.800000011920929,,"8:55 AM","1:40 PM",14.38,325.2,295,90.7134071340713
104,,0.649999976158142,0.800000011920929,1,,"10:35 AM",,16.24,208.5,196.5,94.2446043165468
102,33.5,0.100000001490116,0.25,0.800000011920929,,"8:30 AM","10:00 AM",14.41,106,97,91.5094339622642
76,39,0.100000001490116,0.400000005960464,0.800000011920929,,"10:10 AM","12:35 PM",10.7,111,209,188.288288288288
111,36,0.200000002980232,0.400000005960464,0.400000005960464,,"10:30 AM","2:00 PM",10.31,225,214,95.1111111111111
111,36,0.200000002980232,0.400000005960464,0.400000005960464,,"10:30 AM","2:00 PM",10.31,225,214,95.1111111111111
107,33,0.150000005960464,0.300000011920929,0.800000011920929,,"10:30 AM","1:45 PM",14.38,326.3,295,90.4076003677597
78,32,0.100000001490116,0.200000002980232,0.400000005960464,,"9:00 AM","10:45 AM",10.31,117.4,114,97.1039182282794
87,,,,,,,,13.26,118,,
