rcp_id,max_malt,sum_malt,base_malt_pct
75,6350,7750,81.9354832172394
76,3500,4765,73.4522581100464
78,4000,4650,86.0215067863464
87,4175,6185,67.5020217895508
89,3600,5140,70.0389087200165
92,6500,9335,69.6304202079773
93,7250,9200,78.804349899292
94,4750,6300,75.3968238830566
101,6100,7370,82.7679753303528
102,5300,6700,79.1044771671295
104,4700,8000,58.7499976158142
107,4250,6550,64.8854970932007
111,4000,4825,82.9015552997589
114,5300,6700,79.1044771671295
120,5600,7100,78.8732409477234
122,520,805,64.5962715148926
123,600,680,88.2352948188782
125,450,650,69.2307710647583
126,660,960,68.75
127,400,700,57.1428596973419
128,3500,4800,72.9166686534882
132,6600,8350,79.0419161319733
133,300,675,44.4444447755814
134,55,55,100
137,4250,5200,81.7307710647583
138,2400,5210,46.0652589797974
139,700,1075,65.1162803173065
140,450,850,52.9411792755127
141,750,900,83.3333313465118
142,1100,1435,76.6550540924072
143,330,590,55.9322059154511
144,500,775,64.5161271095276
145,600,800,75
146,675,905,74.585634469986
147,5400,5400,100
148,750,1100,68.1818187236786
149,400,700,57.1428596973419
150,750,1250,60.0000023841858
153,900,1475,61.0169470310211
154,400,750,53.3333361148834
155,100,100,100
156,2300,4880,47.13114798069
157,400,825,48.4848499298096
158,400,725,55.1724135875702
159,400,725,55.1724135875702
160,700,1025,68.2926833629608
161,900,1520,59.2105269432068
163,725,1080,67.1296298503876
164,600,725,82.7586233615875
165,625,955,65.4450237751007
166,950,1600,59.375
167,700,950,73.6842095851898
168,350,725,48.2758611440659
169,450,675,66.6666686534882
170,800,1030,77.6699006557465
171,400,780,51.2820541858673
172,475,800,59.375
173,525,727.5,72.1649467945099
174,500,725,68.9655184745789
175,1050,1400,75
177,700,925,75.6756782531738
178,5900,8365,70.5319762229919
179,330,990,33.3333343267441
180,650,1125,57.7777802944183
181,700,950,73.6842095851898
182,625,1155,54.1125535964966
184,675,925,72.972971200943
185,590,1060,55.6603789329529
186,500,825,60.606062412262
187,425,800,53.125
188,385,670,57.4626863002777
189,880,1030,85.4368925094604
190,990,1190,83.1932783126831
193,700,1125,62.2222244739532
194,650,927.5,70.0808644294739
195,6030,8295,72.6943969726563
196,400,830,48.192772269249
197,7250,9250,78.3783793449402
198,725,930,77.9569864273071
199,770,820,93.9024388790131
200,500,802.5,62.3052954673767
201,750,950,78.9473712444305
202,900,1100,81.8181812763214
203,850,1005,84.5771133899689
204,715,1367.5,52.2851943969727
205,915,1530,59.8039209842682
206,625,1045,59.808611869812
208,875,1407.5,62.166965007782
209,900,1250,72.0000028610229
213,700,875,80.0000011920929
214,800,1075,74.4186043739319
215,375,875,42.8571432828903
216,700,930,75.268816947937
217,5500,7265,75.7054388523102
218,770,845,91.1242604255676
219,650,800,81.25
220,900,1555,57.8778147697449
221,660,845,78.1065106391907
222,360,765,47.0588237047195
223,600,775,77.4193525314331
224,850,950,89.473682641983
225,500,775,64.5161271095276
226,660,860,76.7441868782043
227,670,1172.5,57.1428596973419
228,450,850,52.9411792755127
229,525,830,63.2530093193054
230,800,1005,79.6019911766052
231,850,1285,66.1478579044342
232,880,1635,53.8226306438446
233,900,1100,81.8181812763214
234,500,1160,43.1034475564957
235,700,900,77.7777791023254
236,1000,1330,75.1879692077637
237,800,1005,79.6019911766052
238,700,850,82.3529422283173
239,700,750,93.3333337306976
240,850,1200,70.8333313465118
241,400,915,43.7158465385437
242,770,895,86.0335171222687
243,3850,5475,70.3196346759796
244,425,725,58.6206912994385
245,550,825,66.6666686534882
247,6600,8400,78.5714268684387
248,800,1125,71.1111128330231
249,1020,1320,77.2727251052856
250,475,655,72.5190818309784
251,600,1075,55.8139562606812
252,450,615,73.1707334518433
253,425,780,54.4871807098389
254,575,725,79.3103456497192
255,810,988,81.9838047027588
256,785,1137.5,69.010990858078
257,2500,4500,55.5555582046509
258,725,1000,72.5000023841858
259,500,925,54.0540516376495
260,500,725,68.9655184745789
261,450,775,58.0645143985748
262,750,1050,71.4285731315613
263,1000,1000,100
264,3900,4825,80.8290183544159
266,440,852.5,51.6129016876221
267,750,1035,72.4637687206268
268,400,750,53.3333361148834
269,625,785,79.6178340911865
270,700,750,93.3333337306976
271,580,725,80.0000011920929
272,990,1100,89.9999976158142
273,495,905,54.6961307525635
274,500,825,60.606062412262
275,880,945,93.1216955184937
276,775,1125,68.8888907432556
277,550,805,68.3229804039001
278,725,875,82.8571438789368
279,350,725,48.2758611440659
280,300,575,52.173912525177
281,800,1302.5,61.4203453063965
282,1070,1547.5,69.1437780857086
283,400,750,53.3333361148834
284,480,685,70.072990655899
285,650,875,74.2857158184052
286,280,860,32.5581401586533
287,390,415,93.9759016036987
288,425,875,48.5714286565781
289,475,950,50
290,635,1332.5,47.6547837257385
291,800,875,91.4285719394684
292,3050,4400,69.3181812763214
293,1050,1050,100
294,1210,1365,88.6446893215179
295,5150,6540,78.7461757659912
296,800,900,88.8888895511627
297,650,982.5,66.1577582359314
298,450,640,70.3125
301,1045,1095,95.4337894916534
302,4800,6650,72.180449962616
303,950,1302.5,72.9366600513458
304,850,850,100
305,700,1075,65.1162803173065
306,4450,7935,56.0806572437286
307,4740,6875,68.9454555511475
308,385,647.5,59.4594597816467
309,600,650,92.3076927661896
310,750,875,85.7142865657806
311,620,670,92.5373136997223
312,400,875,45.7142859697342
313,525,700,75
314,620,745,83.2214772701263
315,750,950,78.9473712444305
316,990,1127.5,87.8048777580261
317,900,1052.5,85.5106890201569
318,6000,7600,78.9473712444305
319,700,750,93.3333337306976
320,495,685,72.2627758979797
322,750,1000,75
323,825,1055,78.1990528106689
324,650,1005,64.6766185760498
325,940,1371.25,68.5505926609039
326,935,1660,56.3252985477448
327,700,1057.5,66.1938548088074
328,2150,5575,38.5650217533112
329,825,1375,60.0000023841858
330,605,1360,44.4852948188782
331,605,880,68.75
332,1000,1480,67.5675690174103
333,725,1050,69.0476179122925
334,325,875,37.1428579092026
335,575,802.5,71.6510891914368
336,725,1232.5,58.8235318660736
337,550,775,70.9677398204803
338,4050,4300,94.1860437393188
339,600,695,86.3309323787689
340,770,795,96.8553483486176
341,680,1155,58.8744580745697
342,1020,1395,73.1182813644409
343,715,715,100
344,495,850,58.2352936267853
347,880,945,93.1216955184937
348,670,720,93.0555582046509
349,550,815,67.4846649169922
350,385,660,58.3333313465118
351,600,760,78.9473712444305
352,4400,5095,86.3591730594635
353,500,670,74.6268630027771
354,860,1210,71.074378490448
355,520,722.5,71.9723165035248
356,775,875,88.5714292526245
358,165,550,30.0000011920929
359,650,1030,63.1067931652069
360,1815,5500,33.0000013113022
361,330,785,42.0382171869278
362,375,725,51.7241358757019
363,750,880,85.2272748947144
364,875,1580,55.3797483444214
365,500,760,65.7894730567932
366,7000,8900,78.6516845226288
367,990,1140,86.8421077728271
368,650,750,86.6666674613953
369,650,850,76.4705896377563
370,5000,8350,59.8802387714386
371,600,1025,58.5365831851959
372,375,925,40.5405402183533
373,450,880,51.1363625526428
375,450,725,62.0689630508423
377,385,840,45.8333343267441
378,600,1025,58.5365831851959
379,485,856.5,56.6258013248444
380,600,1025,58.5365831851959
381,800,1005,79.6019911766052
382,575,775,74.193549156189
383,300,575,52.173912525177
384,1020,1395,73.1182813644409
385,6375,8550,74.5614051818848
386,350,725,48.2758611440659
387,6500,9335,69.6304202079773
388,650,1080,60.1851880550385
389,440,845,52.0710051059723
390,605,930,65.0537610054016
391,750,1025,73.1707334518433
392,950,1570,60.5095565319061
393,925,1075,86.0465109348297
394,510,885,57.6271176338196
395,4600,7675,59.9348545074463
396,715,1215,58.8477373123169
397,2200,4150,53.0120491981506
398,700,1125,62.2222244739532
399,730,1000,73.0000019073486
400,575,1000,57.4999988079071
401,500,770,64.9350643157959
403,2000,4370,45.7665890455246
404,385,725,53.1034469604492
405,440,800,55.0000011920929
406,440,790,55.6962013244629
407,1035,1360,76.1029422283173
408,800,1300,61.5384638309479
409,605,712.5,84.9122822284698
410,730,1000,73.0000019073486
411,5750,7750,74.193549156189
412,650,970,67.0103073120117
413,850,1015,83.7438404560089
414,5000,7025,71.1743772029877
415,850,1150,73.9130437374115
416,800,1005,79.6019911766052
417,625,1155,54.1125535964966
418,290,725,40.0000005960464
419,650,1165,55.7939887046814
420,400,790,50.6329119205475
421,650,800,81.25
422,715,870,82.1839094161987
423,500,750,66.6666686534882
424,600,925,64.8648619651794
425,500,725,68.9655184745789
428,550,1125,48.8888889551163
429,660,795,83.0188691616058
430,480,940,51.0638296604156
431,330,1391,23.7239390611649
432,450,875,51.4285743236542
434,495,865,57.2254359722137
435,715,1090,65.596330165863
436,600,1035,57.9710125923157
